Malaria,Malaria is an infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.
Diarrhea,"Diarrhea is a condition characterized by the frequent passage of loose, watery, and unformed stools. It can be caused by various factors, including viral or bacterial infections, food intolerances, and medication side effects."
Lassa Fever,Lassa Fever is a viral hemorrhagic fever caused by the Lassa virus. It is transmitted to humans through contact with food or household items contaminated with rodent urine or feces.  
HIV/AIDS,"HIV/AIDS is a viral infection caused by the Human Immunodeficiency Virus (HIV). It attacks the immune system, making individuals more susceptible to infections and cancers. It is mainly transmitted through unprotected sexual contact, sharing of needles, and from mother to child during pregnancy, childbirth, or breastfeeding."
Tuberculosis,Tuberculosis is a bacterial infection caused by Mycobacterium tuberculosis that primarily affects the lungs. It spreads through the air when an infected person coughs or sneezes.
Measles,"Measles is a highly contagious viral illness that spreads through respiratory droplets when an infected person coughs or sneezes. Symptoms include fever, cough, runny nose, and a characteristic rash."
Yellow Fever,"Yellow is a viral infection transmitted by mosquitoes that primarily affects the liver. Symptoms include fever, headache, muscle pain, nausea, and jaundice."
Cholera,"Cholera is a bacterial infection caused by the bacterium Vibrio cholerae that spreads through contaminated water or food. Symptoms include severe diarrhea and vomiting, leading to dehydration and, in severe cases, shock and death."
Typhoid,"Typhoid is a bacterial infection caused by Salmonella typhi that spreads through contaminated food and water. Symptoms include fever, abdominal pain, headache, and diarrhea or constipation."
Meningitis,"Meningitis is an inflammation of the protective membranes surrounding the brain and spinal cord caused by viruses or bacteria. Symptoms include fever, headache, neck stiffness, and sensitivity to light."
Polio,"Polio is a viral infection that can cause paralysis, usually in the legs. It is mainly spread through contaminated food or water. It has become rare due to vaccination programs worldwide."
Hepatitis B,"Hepatitis B is a viral infection that primarily affects the liver. It spreads through contact with infected bodily fluids, such as blood, semen, or vaginal secretions. Symptoms include jaundice, fatigue, and abdominal pain."
River Blindness,"River Blindness is a parasitic infection caused by the worm Onchocerca volvulus, which is spread through the bites of infected blackflies. Symptoms include severe itching, skin rashes, and blindness."
Elephantiasis,"Elephantiasis a parasitic infection caused by Wuchereria bancrofti or Brugia malayi that spreads through mosquito bites. It leads to the swelling of the lymph nodes and limbs, resulting in disfigurement."
Guinea Worm Disease,"Guinea Worm Disease is a parasitic infection caused by the Guinea worm, Dracunculus medinensis, which spreads through drinking contaminated water. It results in painful blisters and ulcers, usually in the limbs."
Trachoma,"Trachoma is a bacterial infection of the eye caused by Chlamydia trachomatis. It spreads through direct contact with contaminated eye or nose secretions. Symptoms include eye redness, discharge, and vision loss."
Schistosomiasis,"Schitosomiasis a parasitic infection caused by Schistosoma parasites that penetrate the skin when in contact with contaminated freshwater. It leads to damage to internal organs, including the liver, spleen, and bladder."
Rabies,"Rabies is a viral infection transmitted through the bite of an infected animal, such as dogs or bats. Symptoms include fever, headache, muscle weakness, and eventually, coma and death."
Anemia,Anemia is a condition characterized by a decrease in the number of red blood cells in the body
Kwashiorkor,"Kwashiorkor is a form of malnutrition that occurs due to insufficient protein intake in the diet. It is most commonly found in developing countries, especially in areas where there is a lack of access to food and proper nutrition. The condition primarily affects children between the ages of 1 and 4, but it can occur at any age."
